low1,low2,high1,high2,tf1,scale,train_final_price,train_n_trades,train_n_buy,train_n_sell,train_final_cash,train_final_position,train_final_equity,train_baseline,train_excess,train_excess_pct,train_years,train_ann_excess_pct,train_sharpe_excess,train_x_mdd,train_max_drawdown,train_turnover,train_ann_net,test_final_price,test_n_trades,test_n_buy,test_n_sell,test_final_cash,test_final_position,test_final_equity,test_baseline,test_excess,test_excess_pct,test_years,test_ann_excess_pct,test_sharpe_excess,test_x_mdd,test_max_drawdown,test_turnover,test_ann_net,ann_net_min,ann_net_mean,pos_ratio,sharpe_min,x_mdd_max,filter_pass,S,score,pareto
2.0,0.8,1.5,0.8,60,1.0,1.058,52,22,30,412720.0,40000.0,455040.0,411600.0,43440.0,10.55393586005831,0.48248726138869874,21.874019698845284,1.4669206629976477,0.10157768830440439,0.07769173120159881,1204880.0,21.570663703740028,1.147,13,3,10,368280.0,60000.0,437100.0,429400.0,7700.0,1.7931998136935259,0.17584797322990342,10.19744373936627,1.1990096466250544,0.029481053320226318,0.043402154398563736,306280.0,9.99463379985373,9.99463379985373,9.99463379985373,1.0,1.1990096466250544,0.029481053320226318,False,0.1280272523937107,8.860276893705175,False
1.8,0.8,1.5,0.8,60,1.0,1.058,57,26,31,344460.0,100000.0,450260.0,411600.0,38660.0,9.392614188532555,0.48248726138869874,19.467071859055213,1.6755254905534387,0.08994975478607367,0.09905071196602548,1324540.0,19.133588732306727,1.147,13,3,10,368280.0,60000.0,437100.0,429400.0,7700.0,1.7931998136935259,0.17584797322990342,10.19744373936627,1.1990096466250544,0.029481053320226318,0.043402154398563736,306280.0,9.99463379985373,9.99463379985373,9.99463379985373,1.0,1.1990096466250544,0.029481053320226318,False,0.12826576218453767,8.858403875078345,False
2.5,0.5,1.5,0.8,60,1.0,1.058,32,11,21,457520.0,0.0,457520.0,411600.0,45920.0,11.156462585034014,0.48248726138869874,23.12281272032632,1.2301437726283992,0.11333925444531762,0.056915646598384544,762720.0,22.93078058053922,1.147,13,3,10,368320.0,60000.0,437140.0,429400.0,7740.0,1.8025151374010246,0.17584797322990342,10.250417473077261,1.2043353471224676,0.029481053320226318,0.043402154398563736,306240.0,10.047634020431579,10.047634020431579,10.047634020431579,1.0,1.2043353471224676,0.029481053320226318,False,0.138653504470876,8.824136562158689,False
2.5,0.8,1.5,0.8,60,1.0,1.058,36,13,23,451080.0,0.0,451080.0,411600.0,39480.0,9.591836734693878,0.48248726138869874,19.879979229061046,1.0847197266255346,0.11340416521288285,0.07069697726704971,850680.0,19.665801154965585,1.147,13,3,10,368280.0,60000.0,437100.0,429400.0,7700.0,1.7931998136935259,0.17584797322990342,10.19744373936627,1.1990096466250544,0.029481053320226318,0.043402154398563736,306280.0,9.99463379985373,9.99463379985373,9.99463379985373,1.0,1.1990096466250544,0.029481053320226318,False,0.1350801856666216,8.805222684760354,False
2.0,0.3,1.5,0.8,60,1.0,1.058,42,16,26,459740.0,0.0,459740.0,411600.0,48140.0,11.695821185617104,0.48248726138869874,24.24068389278112,1.3499976081852918,0.11005116232053244,0.05704055291864435,977780.0,23.994505497510207,1.147,13,3,10,368220.0,60000.0,437040.0,429400.0,7640.0,1.7792268281322778,0.17584797322990342,10.11798313879978,1.188716861447252,0.02947072473051964,0.043402154398563736,306340.0,9.915133468986957,9.915133468986957,9.915133468986957,1.0,1.188716861447252,0.02947072473051964,False,0.12919636882365448,8.780699037596174,False
1.8,0.3,1.5,0.8,60,1.0,1.058,49,20,29,433040.0,20000.0,454200.0,411600.0,42600.0,10.349854227405247,0.48248726138869874,21.451041417375897,1.3844268760804062,0.10414287624196615,0.07440253143475727,1136040.0,21.16501746089942,1.147,13,3,10,368220.0,60000.0,437040.0,429400.0,7640.0,1.7792268281322778,0.17584797322990342,10.11798313879978,1.188716861447252,0.02947072473051964,0.043402154398563736,306340.0,9.915133468986957,9.915133468986957,9.915133468986957,1.0,1.188716861447252,0.02947072473051964,False,0.13225206796467948,8.757001863383886,False
3.0,0.8,1.5,1.0,60,1.0,1.058,28,9,19,461880.0,0.0,461880.0,411600.0,50280.0,12.215743440233236,0.48248726138869874,25.318271419381695,1.2989330966276695,0.11410597594816596,0.04870725604670559,676600.0,25.147921951975633,1.147,13,2,11,414000.0,20000.0,436940.0,429400.0,7540.0,1.7559385188635306,0.17584797322990342,9.985548804522296,0.8215585108207241,0.04258788458557013,0.04111310592459605,306400.0,9.78265940440919,9.78265940440919,9.78265940440919,1.0,0.8215585108207241,0.04258788458557013,False,0.1196336708723672,8.73737514234186,False
2.5,0.3,1.5,0.8,60,1.0,1.058,30,10,20,459040.0,0.0,459040.0,411600.0,47440.0,11.52575315840622,0.48248726138869874,23.888201991556635,1.261344375008802,0.11338696436898174,0.05704055291864435,721040.0,23.70666374151456,1.147,13,3,10,368220.0,60000.0,437040.0,429400.0,7640.0,1.7792268281322778,0.17584797322990342,10.11798313879978,1.188716861447252,0.02947072473051964,0.043402154398563736,306340.0,9.915133468986957,9.915133468986957,9.915133468986957,1.0,1.188716861447252,0.02947072473051964,False,0.13563767976566865,8.730895113512682,False
2.0,1.0,1.5,0.8,60,1.0,1.058,53,23,30,391960.0,60000.0,455440.0,411600.0,43840.0,10.6511175898931,0.48248726138869874,22.07543792811642,1.542056948991092,0.10155938693257595,0.08114747272878674,1225640.0,21.766855129961577,1.147,13,3,10,368280.0,60000.0,437100.0,429400.0,7700.0,1.7931998136935259,0.17584797322990342,10.19744373936627,1.1990096466250544,0.029481053320226318,0.043402154398563736,306280.0,9.99463379985373,9.99463379985373,9.99463379985373,1.0,1.1990096466250544,0.029481053320226318,False,0.14518053108937268,8.72756174988948,False
1.8,1.0,1.5,0.8,60,1.0,1.058,59,28,31,301760.0,140000.0,449880.0,411600.0,38280.0,9.300291545189504,0.48248726138869874,19.275724541247637,1.7694942251886636,0.09007957632120416,0.10825214422516446,1367240.0,18.931490716511803,1.147,13,3,10,368280.0,60000.0,437100.0,429400.0,7700.0,1.7931998136935259,0.17584797322990342,10.19744373936627,1.1990096466250544,0.029481053320226318,0.043402154398563736,306280.0,9.99463379985373,9.99463379985373,9.99463379985373,1.0,1.1990096466250544,0.029481053320226318,False,0.14621066623356327,8.719718018936254,False
