low1,low2,high1,high2,tf1,train_final_price,train_n_trades,train_n_buy,train_n_sell,train_final_cash,train_final_position,train_final_equity,train_baseline,train_excess,train_excess_pct,train_max_drawdown,train_turnover,test_final_price,test_n_trades,test_n_buy,test_n_sell,test_final_cash,test_final_position,test_final_equity,test_baseline,test_excess,test_excess_pct,test_max_drawdown,test_turnover
1.5,0.8,1.5,0.8,60,1.194,96,40,56,418190.0,40000.0,465950.0,438800.0,27150.0,6.187329079307202,0.06439859624024856,1297250.0,1.147,111,48,63,400050.0,50000.0,457400.0,429400.0,28000.0,6.520726595249185,0.09003674540682415,1298370.0
1.5,0.3,1.2,0.8,21,1.194,68,24,44,438700.0,0.0,438700.0,438800.0,-100.0,-0.022789425706472195,0.0624126688402422,882740.0,1.147,55,18,37,445820.0,10000.0,457290.0,429400.0,27890.0,6.495109455053563,0.04728351176829396,654760.0
1.2,0.8,1.5,0.8,21,1.194,129,62,67,252600.0,150000.0,431700.0,438800.0,-7100.0,-1.618049225159526,0.10155518081319093,1740800.0,1.147,132,63,69,296590.0,140000.0,457170.0,429400.0,27770.0,6.467163483931067,0.14290775707557002,1542230.0
1.5,0.5,1.2,0.8,21,1.194,72,26,46,439430.0,0.0,439430.0,438800.0,630.0,0.14357338195077485,0.0624126688402422,934550.0,1.147,55,18,37,445700.0,10000.0,457170.0,429400.0,27770.0,6.467163483931067,0.04749384767473656,654880.0
2.5,0.5,1.5,0.3,60,1.194,60,20,40,467610.0,0.0,467610.0,438800.0,28810.0,6.56563354603464,0.0624126688402422,810590.0,1.147,43,12,31,445580.0,10000.0,457050.0,429400.0,27650.0,6.43921751280857,0.07889628686522927,519260.0
1.5,0.3,1.2,0.5,60,1.194,83,32,51,439490.0,10000.0,451430.0,438800.0,12630.0,2.8783044667274384,0.0624126688402422,1092830.0,1.147,97,39,58,445570.0,10000.0,457040.0,429400.0,27640.0,6.436888681881696,0.06758343115881268,1137910.0
2.5,0.3,1.5,0.3,60,1.194,58,19,39,466560.0,0.0,466560.0,438800.0,27760.0,6.326344576116682,0.0624126688402422,780440.0,1.147,43,12,31,445420.0,10000.0,456890.0,429400.0,27490.0,6.401956217978574,0.0789797749994782,519420.0
2.5,0.8,1.5,0.8,60,1.194,60,20,40,447400.0,0.0,447400.0,438800.0,8600.0,1.959890610756609,0.0624126688402422,789540.0,1.147,45,13,32,445320.0,10000.0,456790.0,429400.0,27390.0,6.3786679087098275,0.06364304461942258,541540.0
2.5,0.3,1.2,0.3,21,1.194,36,8,28,434340.0,0.0,434340.0,438800.0,-4460.0,-1.01640838650866,0.0624126688402422,450960.0,1.147,26,3,23,456760.0,0.0,456760.0,429400.0,27360.0,6.371681415929204,0.0546930577059882,324860.0
1.2,0.8,1.2,0.3,21,1.194,134,62,72,327220.0,100000.0,446620.0,438800.0,7820.0,1.7821330902461259,0.07056325714999376,1815420.0,1.147,141,63,78,399360.0,50000.0,456710.0,429400.0,27310.0,6.36003726129483,0.10756348145673238,1645000.0
2.5,0.5,1.2,0.3,21,1.194,36,8,28,434410.0,0.0,434410.0,438800.0,-4390.0,-1.0004557885141294,0.0624126688402422,450890.0,1.147,26,3,23,456660.0,0.0,456660.0,429400.0,27260.0,6.348393106660456,0.0546930577059882,324960.0
1.5,0.8,1.2,0.8,21,1.194,90,35,55,440570.0,0.0,440570.0,438800.0,1770.0,0.4033728350045579,0.0624126688402422,1183750.0,1.147,61,21,40,445100.0,10000.0,456570.0,429400.0,27170.0,6.327433628318584,0.05279431251708979,727380.0
2.5,0.8,1.2,0.3,21,1.194,36,8,28,434080.0,0.0,434080.0,438800.0,-4720.0,-1.0756608933454876,0.0624126688402422,451220.0,1.147,26,3,23,456560.0,0.0,456560.0,429400.0,27160.0,6.325104797391709,0.0546930577059882,325060.0
1.2,0.8,1.2,0.3,10,1.194,79,30,49,439250.0,10000.0,451190.0,438800.0,12390.0,2.823609845031905,0.06266884024219842,1050990.0,1.147,61,21,40,445080.0,10000.0,456550.0,429400.0,27150.0,6.322775966464834,0.07559648388447049,721660.0
1.2,0.5,1.2,0.3,10,1.194,73,27,46,437550.0,10000.0,449490.0,438800.0,10690.0,2.436189608021878,0.0624126688402422,964810.0,1.147,61,21,40,444850.0,10000.0,456320.0,429400.0,26920.0,6.269212855146717,0.0756802009208874,721890.0
2.5,0.5,1.5,0.5,60,1.194,60,20,40,459070.0,0.0,459070.0,438800.0,20270.0,4.619416590701914,0.0624126688402422,802050.0,1.147,43,12,31,444830.0,10000.0,456300.0,429400.0,26900.0,6.264555193292967,0.07276533389156374,518510.0
1.2,0.3,1.2,0.8,21,1.194,105,43,62,431390.0,10000.0,443330.0,438800.0,4530.0,1.0323609845031905,0.0624126688402422,1413550.0,1.147,105,43,62,444770.0,10000.0,456240.0,429400.0,26840.0,6.250582207731719,0.07000671930119268,1228070.0
2.5,0.3,1.2,0.5,21,1.194,36,8,28,432660.0,0.0,432660.0,438800.0,-6140.0,-1.399270738377393,0.0624126688402422,449280.0,1.147,26,3,23,456230.0,0.0,456230.0,429400.0,26830.0,6.248253376804843,0.05461736455521376,324330.0
2.5,0.3,1.5,0.5,60,1.194,58,19,39,458290.0,0.0,458290.0,438800.0,19490.0,4.441659070191431,0.0624126688402422,772170.0,1.147,43,12,31,444670.0,10000.0,456140.0,429400.0,26740.0,6.227293898462972,0.07284906845300397,518670.0
2.5,0.5,1.2,0.5,21,1.194,36,8,28,432730.0,0.0,432730.0,438800.0,-6070.0,-1.3833181403828623,0.0624126688402422,449210.0,1.147,26,3,23,456130.0,0.0,456130.0,429400.0,26730.0,6.224965067536097,0.05461736455521376,324430.0
1.5,0.5,1.2,0.5,60,1.194,87,34,53,440290.0,10000.0,452230.0,438800.0,13430.0,3.060619872379216,0.0624126688402422,1149710.0,1.147,99,40,59,444630.0,10000.0,456100.0,429400.0,26700.0,6.217978574755473,0.0673528425289284,1159470.0
1.2,0.3,1.2,0.3,10,1.194,69,25,44,431950.0,10000.0,443890.0,438800.0,5090.0,1.159981768459435,0.0624126688402422,912050.0,1.147,59,20,39,444630.0,10000.0,456100.0,429400.0,26700.0,6.217978574755473,0.07563834240267894,698650.0
2.5,0.8,1.2,0.5,21,1.194,36,8,28,432400.0,0.0,432400.0,438800.0,-6400.0,-1.4585232452142205,0.0624126688402422,449540.0,1.147,26,3,23,456030.0,0.0,456030.0,429400.0,26630.0,6.20167675826735,0.05461736455521376,324530.0
1.5,0.3,1.5,0.8,60,1.194,81,32,49,424510.0,30000.0,460330.0,438800.0,21530.0,4.906563354603464,0.06474112492175624,1077850.0,1.147,96,39,57,432970.0,20000.0,455910.0,429400.0,26510.0,6.173730787144853,0.08350656167979002,1125310.0
1.5,0.5,1.5,0.8,60,1.194,85,34,51,425650.0,30000.0,461470.0,438800.0,22670.0,5.166362807657247,0.06449233245406179,1135070.0,1.147,98,40,58,432950.0,20000.0,455890.0,429400.0,26490.0,6.169073125291104,0.08321259842519685,1147790.0
2.5,0.8,1.2,0.3,60,1.194,60,20,40,451590.0,0.0,451590.0,438800.0,12790.0,2.914767547857794,0.0624126688402422,793730.0,1.147,45,13,32,444360.0,10000.0,455830.0,429400.0,26430.0,6.155100139729855,0.06666527519776252,540580.0
1.2,0.3,1.2,0.3,60,1.194,115,51,64,389980.0,70000.0,473560.0,438800.0,34760.0,7.921604375569736,0.06983333705182838,1562660.0,1.147,125,58,67,329640.0,110000.0,455810.0,429400.0,26410.0,6.150442477876107,0.12965707248857256,1460640.0
1.2,0.3,1.5,0.8,60,1.194,113,51,62,358110.0,90000.0,465570.0,438800.0,26770.0,6.1007292616226065,0.06728963605472592,1530790.0,1.147,121,58,63,283710.0,150000.0,455760.0,429400.0,26360.0,6.1387983232417325,0.1264461942257218,1414710.0
1.2,0.3,1.5,0.8,21,1.194,104,43,61,420550.0,20000.0,444430.0,438800.0,5630.0,1.2830446672743847,0.0624126688402422,1402710.0,1.147,105,43,62,444040.0,10000.0,455510.0,429400.0,26110.0,6.080577550069865,0.09726176519845922,1227340.0
1.2,0.5,1.5,0.5,60,1.194,114,60,54,132510.0,260000.0,442950.0,438800.0,4150.0,0.9457611668185961,0.13056543001355148,1546030.0,1.147,121,65,56,122710.0,290000.0,455340.0,429400.0,25940.0,6.040987424312995,0.17155118275068035,1407970.0
1.5,0.8,1.5,0.8,21,1.194,89,35,54,433870.0,10000.0,445810.0,438800.0,7010.0,1.5975387420237008,0.0624126688402422,1177050.0,1.147,61,21,40,443690.0,10000.0,455160.0,429400.0,25760.0,5.99906846762925,0.07572294335982553,725970.0
2.5,0.5,1.5,0.8,60,1.194,60,20,40,446980.0,0.0,446980.0,438800.0,8180.0,1.8641750227894258,0.0624126688402422,789960.0,1.147,43,12,31,443540.0,10000.0,455010.0,429400.0,25610.0,5.9641360037261295,0.06278215223097112,517220.0
1.5,0.8,1.2,0.8,10,1.194,44,12,32,432470.0,0.0,432470.0,438800.0,-6330.0,-1.4425706472196902,0.06266884024219842,561350.0,1.147,38,9,29,454940.0,0.0,454940.0,429400.0,25540.0,5.947834187238007,0.0446778325957609,449000.0
2.5,0.5,1.2,0.3,60,1.194,60,20,40,451170.0,0.0,451170.0,438800.0,12370.0,2.8190519598906105,0.0624126688402422,794150.0,1.147,43,12,31,443420.0,10000.0,454890.0,429400.0,25490.0,5.936190032603633,0.06580952182171108,517100.0
1.5,0.5,1.2,0.8,10,1.194,44,12,32,432440.0,0.0,432440.0,438800.0,-6360.0,-1.4494074749316317,0.0624126688402422,561380.0,1.147,38,9,29,454880.0,0.0,454880.0,429400.0,25480.0,5.933861201676758,0.0446778325957609,449060.0
2.5,0.3,1.5,0.8,60,1.194,58,19,39,446900.0,0.0,446900.0,438800.0,8100.0,1.845943482224248,0.0624126688402422,760780.0,1.147,43,12,31,443380.0,10000.0,454850.0,429400.0,25450.0,5.926874708896134,0.06286614173228347,517380.0
1.5,0.3,1.5,0.5,21,1.194,68,24,44,443690.0,0.0,443690.0,438800.0,4890.0,1.1144029170464904,0.0624126688402422,887730.0,1.147,55,18,37,443370.0,10000.0,454840.0,429400.0,25440.0,5.924545877969259,0.08041936091405612,652310.0
1.5,0.3,1.2,0.8,10,1.194,44,12,32,432230.0,0.0,432230.0,438800.0,-6570.0,-1.4972652689152233,0.0624126688402422,561590.0,1.147,36,8,28,454770.0,0.0,454770.0,429400.0,25370.0,5.9082440614811365,0.0446778325957609,425870.0
2.5,0.3,1.2,0.3,60,1.194,58,19,39,450500.0,0.0,450500.0,438800.0,11700.0,2.6663628076572468,0.0624126688402422,764380.0,1.147,43,12,31,443260.0,10000.0,454730.0,429400.0,25330.0,5.8989287377736375,0.06589300995596001,517260.0
1.5,0.5,1.5,0.5,21,1.194,72,26,46,446420.0,0.0,446420.0,438800.0,7620.0,1.7365542388331812,0.0624126688402422,941540.0,1.147,55,18,37,443250.0,10000.0,454720.0,429400.0,25320.0,5.896599906846763,0.08062862284721786,652430.0
1.5,0.3,1.2,0.3,60,1.194,83,32,51,457390.0,10000.0,469330.0,438800.0,30530.0,6.957611668185962,0.06728988643716115,1110730.0,1.147,97,39,58,443170.0,10000.0,454640.0,429400.0,25240.0,5.877969259431765,0.08638934691406984,1135510.0
